Vacancy;Company;Location
嵌入式硬件开发;长川科技;Chengdu, Sichuan, China
软件工程师（系统方向）;长川科技;Chengdu, Sichuan, China
[2022校招] 高级固件开发工程师;晟碟半导体;Shanghai, Shanghai, China
鸿蒙OS开发工程师;芯海科技;Xi'an, Shaanxi, China
SMTS Technical Support - 20444;Rambus;Espoo, Southern Finland, Finland
高级NET工程师;上海思慧德安防设备有限公司;Shanghai, Shanghai, China
Linux操作系统软件工程师;Loongson Technology Co., Ltd.;Beijing, Beijing, China
编译器开发与性能优化工程师;Loongson Technology Co., Ltd.;Beijing, Beijing, China
Linux开源软件工程师;Loongson Technology Co., Ltd.;Beijing, Beijing, China
JAVA后端开发工程师;深圳市华信天线技术有限公司;Shenzhen, Guangdong, China
项目管理工程师;KSTAR;Shenzhen, Guangdong, China
qt软件工程师;深圳市迈普视通科技有限公司;Shenzhen, Guangdong, China
iOS开发工程师;Hangzhou Jufeng Technology Co., Ltd（JF TECH）;Hangzhou, Zhejiang, China
Android开发工程师;深圳富创通科技有限公司;Shenzhen, Guangdong, China
Android应用工程师;深圳富创通科技有限公司;Shenzhen, Guangdong, China
配置管理工程师;深圳市新国都股份有限公司;Shenzhen, Guangdong, China
POS应用开发工程师（英语顺畅）;深圳市新国都股份有限公司;Shenzhen, Guangdong, China
软件开发工程师-上位机;Huada Electronic Design Co.,Ltd.;Beijing, Beijing, China
PHP开发工程师;天固信息安全系统(深圳)有限公司;Shenzhen, Guangdong, China
Java软件工程师;深圳市英米加电子标签有限公司;Shenzhen, Guangdong, China
PHP开发工程师c++程序员/QT/软件图像处理;深圳市英米加电子标签有限公司;Shenzhen, Guangdong, China
软件研发工程师;深圳市英米加电子标签有限公司;Shenzhen, Guangdong, China
4G软件工程师;深圳市新源润产品信息技术有限公司;Shenzhen, Guangdong, China
嵌入式（固件）工程师（智能穿戴+物联网）;广东乐源数字技术有限公司;Guangzhou, Guangdong, China
Web前端开发工程师;杭州海康威视数字技术股份有限公司;Hangzhou, Zhejiang, China
配置管理工程师;Shenzhen Fenda Technology Co., Ltd.;Xi'an, Shaanxi, China
数据分析EDA/YMS/DMS 主任/高级工程师;厦门士兰集科微电子有限公司;Xiamen, Fujian, China
汽车电子软件工程师;上海美默思电子科技有限公司;Shanghai, Shanghai, China
Linux软件工程师;四川一电航空技术有限公司;Chengdu, Sichuan, China
嵌入式软件工程师;深圳市爱图仕影像器材有限公司;Shenzhen, Guangdong, China
嵌入式软件开发工程师;深圳市爱图仕影像器材有限公司;Shenzhen, Guangdong, China
MCU软件工程师;深圳市爱图仕影像器材有限公司;Shenzhen, Guangdong, China
Java开发工程师;楚天龙股份有限公司北京分公司;Beijing, Beijing, China
web前端开发工程师;深圳市锐明技术股份有限公司;Nanjing, Jiangsu, China
配置管理工程师;深圳市锐明技术股份有限公司;Shenzhen, Guangdong, China
软件工程师(J10153);凹凸科技（中国）有限公司;Wuhan, Hubei, China
嵌入式软件驱动工程师(J10146);凹凸科技（中国）有限公司;Wuhan, Hubei, China
软件配置管理工程师（SCM）;北京北方华创微电子装备有限公司;Beijing, Beijing, China
数字IC验证工程师;武汉市聚芯微电子有限责任公司;Wuhan, Hubei, China
BSP软件开发工程师;惠州市德赛西威汽车电子股份有限公司;Nanjing, Jiangsu, China
安卓开发工程师andriod;杭州启飞智能科技有限公司;Hangzhou, Zhejiang, China
Java开发工程师;北京臻迪机器人有限公司;Beijing, Beijing, China
配置管理员;北京标融智能科技有限公司;Beijing, Beijing, China
服务器运维工程师;北京标融智能科技有限公司;Beijing, Beijing, China
java工程师;华炫鼎盛(北京)科技有限公司;Beijing, Beijing, China
高级驱动工程师;湖南国科微电子股份有限公司;Changsha, Hunan, China
高级驱动工程师;湖南国科微电子股份有限公司;Chengdu, Sichuan, China
Java 服务器研发工程师;深圳市光明顶照明科技有限公司;Shenzhen, Guangdong, China
高级导航算法工程师;北京诺亦腾科技有限公司;Beijing, Beijing, China
java开发主管;深圳市晧辰电子科技有限公司;Shenzhen, Guangdong, China
java主管;深圳市晧辰电子科技有限公司;Shenzhen, Guangdong, China
Java开发工程师;北京耀华德昌电子有限公司;Beijing, Beijing, China
Diag开发工程师;芷锐电子;Shanghai, Shanghai, China
SCM配置管理工程师8390;ZEKU Technologies;Shanghai, Shanghai, China
高级软件工程师-设备控制;江苏天芯微半导体设备有限公司;Wuxi, Jiangsu, China
java开发工程师;维信诺;Suzhou, Jiangsu, China
高级应用开发工程师;嘉兴驭光光电科技有限公司;Beijing, Beijing, China
IoT嵌入式工程师;Shenzhen Topband Co.,Ltd;Shenzhen, Guangdong, China
c#开发工程师;苏州伊欧陆系统集成有限公司;Suzhou, Jiangsu, China
集成电路设计IT/CAD运维开发工程师;星宸科技股份有限公司;Shanghai, Shanghai, China
软件开发工程师;苏州伊欧陆系统集成有限公司;Suzhou, Jiangsu, China
自动化软件工程师;上海隐冠半导体技术有限公司;Shanghai, Shanghai, China
运行时库开发工程师;无锡先进技术研究院;Wuxi, Jiangsu, China
嵌入式软件测试工程师(J10122);探境科技;Beijing, Beijing, China
高级嵌入式软件工程师（蓝牙）;深圳瑞利声学技术股份有限公司;Shenzhen, Guangdong, China
嵌入式软件工程师（MCU 方向）;深圳瑞利声学技术股份有限公司;Shenzhen, Guangdong, China
嵌入式软件工程师(JDM22);芯耀辉科技有限公司;Shanghai, Shanghai, China
基站协议栈L2软件开发工程师;极芯通讯;Beijing, Beijing, China
基站协议栈L1软件工程师;极芯通讯;Beijing, Beijing, China
高级通讯实现工程师;上海金卓科技;Shanghai, Shanghai, China
通讯实现工程师;上海金卓科技;Shanghai, Shanghai, China
嵌入式软件工程师（Linux底层驱动）;霍尼韦尔(中国)有限公司;Shenzhen, Guangdong, China
高级驱动开发工程师;上海金卓科技;Shanghai, Shanghai, China
cad工程师;苏州宽温电子科技有限公司;Suzhou, Jiangsu, China
GIS开发工程师;Tsinghua Tongfang Legend Silicon Tech Co., Ltd.;Beijing, Beijing, China
技术工程师java方向;Tsinghua Tongfang Legend Silicon Tech Co., Ltd.;Beijing, Beijing, China
高级嵌入式工程师;长园创新技术(深圳)有限公司珠海分公司;Zhuhai, Guangdong, China
软件测试工程师;南京集成电路设计服务产业创新中心有限公司;Shanghai, Shanghai, China
（研发）项目管理经理/总监;大唐半导体科技有限公司;Beijing, Beijing, China
研发工程师;中电港CECport;Dongguan, Guangdong, China
软件工程师;惠州迪芬尼声学科技股份有限公司深圳分公司;Shenzhen, Guangdong, China
自动化测试开发工程师;ZEKU Technologies;Shanghai, Shanghai, China
QA/项目经理PM;中国电子系统技术有限公司;Nanjing, Jiangsu, China
软件工程师 （系统软件方向）;长川科技;Harbin, Heilongjiang, China
.net开发工程师;Tonly Electronics Holdings Ltd;Huizhou, Guangdong, China
嵌入式软件工程师-linux;厦门亚锝电子科技有限公司;Xiamen, Fujian, China
java开发高级工程师;维信诺;Suzhou, Jiangsu, China
配置管理工程师;北京航天嘉诚精密科技发展有限公司;Beijing, Beijing, China
嵌入式高级软件工程师;嘉隆科技有限公司;Hangzhou, Zhejiang, China
软件工程师;China Star Optoelectronics Technology Co., Ltd (CSOT);Suzhou, Jiangsu, China
技术支持开发工程师;联咏科技(深圳)有限公司;Shenzhen, Guangdong, China
PAE-软件工程师;昆腾微电子股份有限公司;Shenzhen, Guangdong, China
机器视觉工程师;深圳市汉森软件有限公司;Shenzhen, Guangdong, China
底层驱动开发;舜宇集团有限公司;Hangzhou, Zhejiang, China
GPU Test Automation Engineer –Virtualization Team;超威半导体(上海)有限公司;Shanghai, Shanghai, China
DEVOPS开发工程师4510;UNISOC;Shanghai, Shanghai, China
前端;南京安杰信息科技有限公司;Nanjing, Jiangsu, China
QT软件工程师;越疆科技有限公司;Shenzhen, Guangdong, China
AI算法工程师;China Star Optoelectronics Technology Co., Ltd (CSOT);Suzhou, Jiangsu, China
测试工程师;北京清微智能科技有限公司;Beijing, Beijing, China
嵌入式测试工程师;探境科技;Beijing, Beijing, China
电子工程师;舜宇集团有限公司;Zhongshan, Guangdong, China
golang开发工程师;优特科技珠海;Zhuhai, Guangdong, China
java后端开发工程师;优特科技珠海;Zhuhai, Guangdong, China
.net开发工程师;天津瑞智万达股份有限公司;Tianjin, Tianjin, China
PCB Layout工程师;联芸科技(杭州)有限公司;Hangzhou, Zhejiang, China
数字ic验证工程师（诚聘）;纽瑞芯科技;Beijing, Beijing, China
桌面应用软件开发工程师;南京物间科技有限公司;Nanjing, Jiangsu, China
配置管理工程师;中国电子系统技术有限公司;Beijing, Beijing, China
项目经理--数字城市业务;中国电子系统技术有限公司;Tianjin, Tianjin, China
显控工程师;航天微电;Beijing, Beijing, China
Java开发工程师;BDStar Navigation Co., Ltd.;Beijing, Beijing, China
软件技术主管;长川科技;Beijing, Beijing, China
软件工程师 （系统软件方向）;长川科技;Beijing, Beijing, China
SCM配置管理工程师;ZEKU Technologies;Shanghai, Shanghai, China
c++软件工程师;长川科技;Beijing, Beijing, China
高级算法工程师（深度学习）;上海华测导航技术有限公司;Wuhan, Hubei, China
配置管理工程师;快鱼电子;Beijing, Beijing, China
Software Validation Engineer - Sr;TDK InvenSense;Grenoble, Auvergne-Rhône-Alpes, France
Software Validation Engineer - Sr;TDK InvenSense;Grenoble, Auvergne-Rhône-Alpes, France
Engineer II-Test;Microchip Technology Inc.;Colorado Springs, CO
SW - System Software DevOps Engineer;NUVIA Inc;Toronto, ON
SW - System Software DevOps Engineer;NUVIA Inc;Santa Clara, CA
SW - System Software DevOps Engineer;NUVIA Inc;Austin, TX
Continuous Integration Engineer;PathPartner Technology;Bengaluru, Karnataka, India
存储固件工程师;Inventec;Shanghai, Shanghai, China
JAVA研发工程师（车联网）;Hirain Technology Lmt. Inc.;Beijing, Beijing, China
中级Java开发工程师;Hirain Technology Lmt. Inc.;Beijing, Beijing, China
高级嵌入式开发工程师;智云;Shenzhen, Guangdong, China
前端开发工程师(J10996);领益智造;Shenzhen, Guangdong, China
WiFi技术支持工程师(FAE);博通集成电路;Shenzhen, Guangdong, China
配置管理工程师 (MJ000219);深圳创维-RGB电子有限公司;Shenzhen, Guangdong, China
WEB前端开发工程师;中国电子系统技术有限公司;Nanjing, Jiangsu, China
Validation Tool Development - AI Core;Enflame;Shanghai, Shanghai, China
C#软件工程师（C） (职位编号：04);中科飞测;Shenzhen, Guangdong, China
GPU Virtualization test;超威半导体(上海)有限公司;Shanghai, Shanghai, China
软件项目管理;Hisense Group;Qingdao, Shandong, China
Sr Software Design Engineer;Qorvo, Inc.;Dublin, County Dublin, Ireland
Staff Engineer, Software Development Engineering (Apps) MacOS apps (Objective-C/Swift);Western Digital;Bengaluru, Karnataka, India
Staff Test Development Engineer;MaxLinear;Bengaluru, Karnataka, India
配置管理工程师;国民技术股份;Shenzhen, Guangdong, China
自动化平台测试工程师;创耀(苏州)通信科技股份有限公司;Suzhou, Jiangsu, China
java软件工程师;ECI;Hangzhou, Zhejiang, China
前端开发工程师;上海司南卫星导航;Shanghai, Shanghai, China
高级软件开发工程师（机器人或智能设计方向）;越疆科技有限公司;Shenzhen, Guangdong, China
dsp开发工程师;秦嵩科技;Shanghai, Shanghai, China
编译器开发工程师;辉芒微电子(深圳)股份有限公司;Shenzhen, Guangdong, China
Sr. Firmware Engineer;超威半导体(上海)有限公司;Shanghai, Shanghai, China
IT运维工程师（上海）(J12231);北京奕斯伟计算技术有限公司;Shanghai, Shanghai, China
Linux工程师（北京）(J12227);北京奕斯伟计算技术有限公司;Beijing, Beijing, China
Senior Algorithm/ Signal Processing Engineer;Analog Devices;Wilmington, MA
Engineer I-Firmware;Microchip Technology Inc.;Houston, TX
Java Microservices Developer;PamTen Inc;Peapack - Gladstone, NJ
software configuration management;翱捷科技;Shanghai, Shanghai, China
Lead MTS Verification Engineering - 20436;Rambus;Rotterdam, South Holland, Netherlands
Sr ASIC Verification Engineer - 20439;Rambus;Rotterdam, South Holland, Netherlands
Systems Engineer;Analog Devices;Somerset, NJ
Sr. Diagnostics Development Engineer;广州思信电子科技有限公司;Shanghai, Shanghai, China
MES开发;达瑞电子有限公司;Dongguan, Guangdong, China
MES工程师;达瑞电子有限公司;Dongguan, Guangdong, China
SSD Firmware Engineer;美光半导体;Shanghai, Shanghai, China
Software Process Management Engineer（偏网页开发）;上海澜至半导体有限公司;Chengdu, Sichuan, China
Android Developer;PathPartner Technology;Bengaluru, Karnataka, India
Android Lead;PathPartner Technology;Bengaluru, Karnataka, India
Qt Developer;PathPartner Technology;Bengaluru, Karnataka, India
Full Stack Architect;PathPartner Technology;Bengaluru, Karnataka, India
Xamarin Developer;Incise Infotech Private Limited;Delhi, Delhi, India
Sr. Engineer/Technical lead/Manager;VVDN Technologies;Ahmedabad, Gujarat, India
Sr. Engineer/Technical lead/Manager;VVDN Technologies;Kochi, Kerala, India
Tech Lead (Embedded Software Developer);VVDN Technologies;Gurgaon, Haryana, India
3G Firmware Senior Engineer;Test and Verification Solutions;Bengaluru, Karnataka, India
Tech Lead (5G Layer3 Development);VVDN Technologies;Gurgaon, Haryana, India
Software Developer;Insemi Technology Services Pvt. Ltd.;Bengaluru, Karnataka, India
Tech Lead (Embedded Software Developer);VVDN Technologies;Gautam Buddha Nagar, Uttar Pradesh, India
DEVOPS Engineer;Insemi Technology Services Pvt. Ltd.;Bengaluru, Karnataka, India
V&V Engineer Infotainment & Audio Testing;Wafer Space - An ACL Digital Company;Pune, Maharashtra, India
Senior C++ Embedded Software Engineer;Synaptics;Katowice, Śląskie, Poland
Senior Embedded Linux Software Engineer;Analog Devices;Cluj-Napoca, Cluj, Romania
Embedded Linux Engineer;Analog Devices;Cluj-Napoca, Cluj, Romania
Devops Engineer;Maxim Integrated;Bengaluru, Karnataka, India
C++高级开发工程师;永泰新欣科技;Shenzhen, Guangdong, China
Java高级研发工程师;大华技术;Shanghai, Shanghai, China
Java高级开发工程师;至纯科技;Shanghai, Shanghai, China
GPU Test Automation Engineer;广州思信电子科技有限公司;Guangzhou, Guangdong, China
linux 驱动工程师;舜宇集团有限公司;Shanghai, Shanghai, China
IT程序员;达瑞电子有限公司;Dongguan, Guangdong, China
java开发工程师（轨道交通）;优特科技珠海;Zhuhai, Guangdong, China
Web前端开发工程师;飞天诚信科技股份有限公司;Beijing, Beijing, China
YE系统运维工程师;上海集成电路研发中心有限公司;Shanghai, Shanghai, China
技术开发经理（军融）;中船重工(武汉)凌久高科有限公司;Wuhan, Hubei, China
devops开发工程师;中国电子系统技术有限公司;Beijing, Beijing, China
Technical Lead - Software (Graphics & Video) - Defence;Mistral Solutions Pvt. Ltd;Bengaluru, Karnataka, India
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Engineer II-Software;Microchip Technology Inc.;Kitchener, ON
Engineer II-Software;Microchip Technology Inc.;Toronto, ON
C++开发工程师;杭州行芯科技有限公司;Hangzhou, Zhejiang, China
C++软件开发工程师;杭州行芯科技有限公司;Hangzhou, Zhejiang, China
软件后端开发工程师;杭州行芯科技有限公司;Hangzhou, Zhejiang, China
5GL3协议栈高级软件工程师;深圳市共进电子股份有限公司;Shanghai, Shanghai, China
ATE Test Engineer (Teradyne UFLEX);Tessolve;Chandler, AZ
软件开发工程师-上位机;Huada Electronic Design Co.,Ltd.;Beijing, Beijing, China
Digital Verification Engineer/Manager;日照志芯源电子科技有限公司;Beijing, Beijing, China
软件工程师;河南东微电子材料有限公司;Zhengzhou, Henan, China
HPC工程师（海宁）(J10795);北京奕斯伟计算技术有限公司;Jiaxing, Zhejiang, China
HPC工程师（北京）(J10794);北京奕斯伟计算技术有限公司;Beijing, Beijing, China
Linux驱动工程师;浙江锐文科技有限公司;Hangzhou, Zhejiang, China
PC软件工程师（广州）;珠海全志;Guangzhou, Guangdong, China
c#开发工程师;深圳中科飞测科技股份有限公司;Shenzhen, Guangdong, China
Full Stack Java Developer (Principal SDE);Western Digital;Bengaluru, Karnataka, India
Principal Engineer - Electronic Design Engineering;Western Digital;Bengaluru, Karnataka, India
Principal Engineer-Software;Microchip Technology Inc.;San Jose, CA
Engineer II-Software;Microchip Technology Inc.;San Jose, CA
Tech Staff;Microchip Technology Inc.;Hyderabad, Telangana, India
Sr. Engineer II-Software;Microchip Technology Inc.;Kitchener, ON
Senior Engineer I;Microchip Technology Inc.;Hyderabad, Telangana, India
Senior Engineer I;Microchip Technology Inc.;Punjab, India
Atlassian System Administrator and Developer;Microchip Technology Inc.;Chennai, Tamil Nadu, India
Manager - Corporate Component Library;Microchip Technology Inc.;Taman Pulau Pinang, Penang, Malaysia
Senior Engineer II-Software;Microchip Technology Inc.;Kitchener, ON
Senior/Principal Embedded Applications Engineer;Microchip Technology Inc.;Bengaluru, Karnataka, India
Senior Software Engineer - Web ERP;Microchip Technology Inc.;Bengaluru, Karnataka, India
Principal Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Principal Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
Principal Engineer-Software;Microchip Technology Inc.;Toronto, ON
嵌入式软件工程师;深圳市爱都科技有限公司;Shenzhen, Guangdong, China
System and Firmware Engineer;Analog Devices;Jersey, GA
高级软件测试工程师;北京中芯标准科技有限公司;Beijing, Beijing, China
app软件测试工程师;北京中芯标准科技有限公司;Beijing, Beijing, China
C++ Software Engineer;Synaptics;Katowice, Śląskie, Poland
Senior Development Engineer;Synaptics;Katowice, Śląskie, Poland
Senior C++ Software Engineer;Synaptics;Katowice, Śląskie, Poland
Java开发工程师;杭州永谐科技有限公司;Chengdu, Sichuan, China
Java开发工程师;杭州永谐科技有限公司;Shanghai, Shanghai, China
Senior DevOps Engineer - Atlassian Suite;Skyworks Solutions, Inc.;Austin, TX
资深算法工程师;深圳市杰思信息技术服务有限公司;Shanghai, Shanghai, China
高级算法工程师;深圳市杰思信息技术服务有限公司;Shenzhen, Guangdong, China
软件架构师;深圳市杰思信息技术服务有限公司;Shenzhen, Guangdong, China
资深算法工程师;深圳市杰思信息技术服务有限公司;Shenzhen, Guangdong, China
资深算法工程师;深圳市杰思信息技术服务有限公司;Guangzhou, Guangdong, China
Java开发工程师;上海火昕物联网科技有限公司;Shanghai, Shanghai, China
Java开发工程师;上海火昕物联网科技有限公司;Yangzhou, Jiangsu, China
ASIC Verification Engineer;Rambus;Rotterdam, South Holland, Netherlands
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
ATE Test Engineer;Tessolve;San Diego, CA
C#软件工程师（C）;中科飞测;Shenzhen, Guangdong, China
Staff Software Engineer;MaxLinear;Bengaluru, Karnataka, India
Senior Software Engineer;Veeco;Somerset, NJ
Staff Engineer, ASIC Development Engineering;Western Digital;Bengaluru, Karnataka, India
EDA Software Engineer;Microchip Technology Inc.;Hyderabad, Telangana, India
芯片设计工程师;深圳市楠菲微电子有限公司;Changsha, Hunan, China
芯片设计工程师;深圳市楠菲微电子有限公司;Chengdu, Sichuan, China
芯片设计工程师;深圳市楠菲微电子有限公司;Chengdu, Sichuan, China
芯片设计工程师;深圳市楠菲微电子有限公司;Chengdu, Sichuan, China
JAVA研发工程师（车联网）;北京经纬恒润科技股份有限公司;Beijing, Beijing, China
GIS开发工程师;北京经纬恒润科技股份有限公司;Beijing, Beijing, China
中级Java开发工程师;北京经纬恒润科技股份有限公司;Beijing, Beijing, China
java开发工程师;武汉盛硕电子有限公司;Wuhan, Hubei, China
Senior Engineer I - Firmware Development;Microchip Technology Inc.;Bengaluru, Karnataka, India
SoC Mixed Signal Verification Engr-资深混合信号验证工程师;宁波奥拉半导体;Shanghai, Shanghai, China
Senior Technical Staff Engineer - Software;Microchip Technology Inc.;Rousset, Provence-Alpes-Côte d'Azur, France
Embedded Linux Software Engineer;Analog Devices;Limerick, County Limerick, Ireland
Diagnostic Client Server Release Engineer;上海世谛集成电路设计有限公司;Shanghai, Shanghai, China
软件工程师;江西兆驰半导体有限公司;Nanchang, Jiangxi, China
嵌入式软件工程师;浙江艾罗网络能源技术有限公司;Hangzhou, Zhejiang, China
DSP软件工程师;上海柏飞电子科技有限公司;Shanghai, Shanghai, China
固件开发工程师;上海承领智能科技有限公司;Shanghai, Shanghai, China
软件工程师;苏州芯沃科电子科技有限公司;Suzhou, Jiangsu, China
资深系统与网络管理员;深流微智能科技（深圳）有限公司;Shenzhen, Guangdong, China
DSP软件工程师;上海柏飞电子科技有限公司;Shanghai, Shanghai, China
Validation Tool Development - Memory;Enflame;Shanghai, Shanghai, China
测试开发工程师;Memblaze;Shanghai, China
.Net Web Developer (Seattle/Portland/Austin);Fresh Consulting;Washington, United States
AW_软件设计工程师（存储）;珠海全志;Zhuhai, Guangdong, China
高级Java软件工程师;林洋能源;Beijing, Beijing, China
嵌入式软件开发工程师(Linux);深圳市昂星科技有限公司;Shenzhen, Guangdong, China
点云编码工程师;Xiaomi Technology;Beijing, China
数字电路工程师;Silicon Integrated Co., Ltd;Wuhan, Hubei, China
